1	A
2	B
3	A
4	A
5	C
6	C
7	B
8	D
9	C
10	D
11	B
12	A
13	A
14	D
15	D
16	D
17	B
18	A
19	C
20	A
21	B
22	C
23	A
24	C
25	B
26	D
27	D
28	A
29	D
30	B
31	A
32	C
33	D
34	D
35	A
36	D
37	A
38	B
39	C
40	B
41	A
42	C
43	A
44	C
45	B
46	C
47	A
48	B
49	A
50	C
51	D
52	A
53	C
54	A
55	B
56	D
57	B
58	B
59	A
60	D
61	A
62	A
63	C
64	B
65	C
66	D
67	B
68	C
69	B
70	C
71	C
72	B
73	B
74	C
75	B
76	B
77	C
78	B
79	B
80	B
81	A
82	D
83	A
84	D
85	D
86	A
87	B
88	A
89	D
90	A
91	C
92	B
93	A
94	D
95	C
96	C
97	C
98	A
99	A
100	A
101	B
102	D
103	B
104	A
105	C
106	B
107	C
108	D
109	B
110	B
111	C
112	D
113	C
114	C
115	B
116	C
117	B
118	B
119	B
120	B
121	C
122	B
123	C
124	B
125	B
126	D
127	C
128	B
129	B
130	B
131	B
132	B
133	B
134	B
135	B
136	B
137	B
138	C
139	B
140	D
141	C
142	C
143	B
144	A
145	C
146	D
147	B
148	B
149	A
150	C
151	C
152	D
153	C
154	D
155	C
156	B
157	B
158	C
159	A
160	C
161	C
162	D
163	C
164	D
165	C
166	B
167	C
168	A
169	C
170	C
171	A
172	A
173	A
174	B
175	C
176	C
177	D
178	B
179	A
180	C
181	B
182	C
183	D
184	C
185	C
186	C
187	D
188	C
189	B
190	C
191	B
192	B
193	B
194	B
195	C
196	B
197	C
198	A
199	C
200	B
