1	C
2	B
3	A
4	D
5	A
6	C
7	D
8	B
9	D
10	D
11	C
12	B
13	A
14	A
15	C
16	C
17	B
18	D
19	D
20	C
21	B
22	A
23	A
24	C
25	B
26	D
27	B
28	A
29	C
30	B
31	A
32	A
33	C
34	A
35	B
36	C
37	D
38	A
39	C
40	D
41	C
42	A
43	C
44	D
45	B
46	A
47	C
48	D
49	B
50	C
51	D
52	A
53	C
54	D
55	B
56	A
57	B
58	C
59	C
60	A
61	B
62	C
63	D
64	D
65	A
66	B
67	D
68	A
69	B
70	B
71	D
72	D
73	C
74	D
75	A
76	D
77	B
78	C
79	B
80	C
81	D
82	A
83	B
84	B
85	C
86	D
87	C
88	D
89	B
90	A
91	A
92	B
93	D
94	A
95	C
96	B
97	A
98	A
99	D
100	C
101	C
102	B
103	C
104	D
105	D
106	A
107	B
108	D
109	D
110	B
111	A
112	C
113	A
114	C
115	B
116	D
117	D
118	C
119	B
120	D
121	B
122	A
123	C
124	B
125	A
126	A
127	B
128	B
129	B
130	B
131	D
132	A
133	A
134	B
135	C
136	B
137	C
138	A
139	C
140	A
141	B
142	C
143	A
144	C
145	C
146	B
147	C
148	C
149	B
150	B
151	C
152	D
153	B
154	C
155	A
156	B
157	B
158	C
159	D
160	B
161	A
162	A
163	B
164	C
165	B
166	A
167	D
168	A
169	C
170	B
171	B
172	D
173	B
174	C
175	B
176	C
177	B
178	A
179	A
180	C
181	B
182	C
183	B
184	D
185	B
186	B
187	C
188	B
189	A
190	C
191	C
192	B
193	A
194	D
195	C
196	C
197	B
198	B
199	B
200	C
